attendance,math_marks,science_marks,english_marks,hours_studied,assignments,prev_gpa,result
22.0,73.0,83.0,65.0,8.4,73.0,3.06,0
70.0,41.0,70.0,92.0,7.3,64.0,1.64,0
26.0,63.0,47.0,26.0,5.4,66.0,1.53,0
40.0,91.0,50.0,34.0,5.9,31.0,3.34,0
92.0,47.0,34.0,67.0,5.1,40.0,3.08,1
58.0,15.0,97.0,57.0,3.0,30.0,2.42,0
37.0,35.0,95.0,64.0,5.7,24.0,2.74,0
23.0,69.0,76.0,43.0,6.9,75.0,2.07,0
79.0,20.0,87.0,71.0,8.7,39.0,2.55,0
33.0,95.0,40.0,53.0,6.4,60.0,2.62,0
28.0,83.0,80.0,70.0,7.6,65.0,2.28,0
72.0,19.0,87.0,57.0,1.6,31.0,3.74,0
21.0,17.0,87.0,64.0,4.6,89.0,1.24,0
79.0,67.0,54.0,37.0,0.1,36.0,3.39,0
90.0,37.0,31.0,58.0,2.5,38.0,1.55,0
63.0,67.0,15.0,52.0,7.3,45.0,3.43,0
27.0,51.0,75.0,98.0,9.9,67.0,2.92,0
66.0,88.0,57.0,37.0,1.0,71.0,3.56,0
54.0,88.0,56.0,59.0,4.0,89.0,1.47,0
97.0,97.0,39.0,66.0,8.0,74.0,2.77,1
55.0,31.0,53.0,94.0,2.0,94.0,2.6,0
69.0,99.0,49.0,64.0,5.6,52.0,3.18,1
23.0,92.0,17.0,22.0,7.3,81.0,2.7,0
21.0,87.0,58.0,99.0,6.2,42.0,2.71,0
25.0,15.0,65.0,15.0,1.9,34.0,2.4,0
73.0,65.0,26.0,22.0,3.6,46.0,2.06,0
23.0,59.0,33.0,43.0,7.8,94.0,2.55,0
73.0,91.0,58.0,19.0,5.5,83.0,1.53,0
82.0,18.0,73.0,61.0,0.1,70.0,3.89,0
37.0,76.0,63.0,48.0,7.6,72.0,3.2,0
63.0,79.0,75.0,79.0,0.4,97.0,3.87,0
53.0,46.0,31.0,69.0,7.5,70.0,1.83,0
93.0,48.0,88.0,57.0,2.0,66.0,3.66,1
81.0,86.0,71.0,88.0,9.6,23.0,3.46,0
33.0,53.0,69.0,44.0,3.7,26.0,3.1,0
67.0,40.0,61.0,96.0,3.3,54.0,2.95,1
34.0,48.0,26.0,31.0,1.5,67.0,2.09,0
91.0,68.0,76.0,40.0,3.1,92.0,3.49,1
97.0,17.0,94.0,22.0,8.8,91.0,2.6,0
81.0,64.0,97.0,61.0,10.0,64.0,1.4,0
59.0,26.0,22.0,90.0,3.7,91.0,2.08,0
99.0,79.0,35.0,86.0,4.5,38.0,3.82,0
72.0,68.0,95.0,60.0,7.2,82.0,3.58,1
43.0,19.0,94.0,82.0,8.9,57.0,3.95,0
45.0,71.0,84.0,47.0,5.9,86.0,2.96,0
79.0,31.0,86.0,15.0,3.9,78.0,1.89,0
60.0,61.0,39.0,33.0,4.1,88.0,1.66,0
48.0,37.0,96.0,45.0,7.0,32.0,1.72,0
34.0,93.0,26.0,94.0,0.0,66.0,1.26,0
64.0,99.0,29.0,28.0,6.2,80.0,2.29,1
84.0,28.0,73.0,67.0,3.6,50.0,1.74,0
90.0,80.0,40.0,62.0,7.9,99.0,2.35,1
28.0,89.0,40.0,83.0,0.9,41.0,3.82,0
20.0,65.0,61.0,76.0,5.9,62.0,2.41,0
27.0,52.0,46.0,80.0,4.8,86.0,3.66,0
82.0,78.0,24.0,78.0,6.4,73.0,2.9,1
30.0,52.0,30.0,84.0,0.6,29.0,1.89,0
27.0,64.0,85.0,77.0,5.8,61.0,2.2,0
54.0,96.0,31.0,87.0,5.6,83.0,1.43,0
54.0,44.0,37.0,47.0,5.6,40.0,2.13,0
52.0,93.0,40.0,55.0,6.0,99.0,3.1,0
24.0,65.0,99.0,62.0,6.8,95.0,1.4,0
60.0,77.0,21.0,27.0,8.0,85.0,1.78,0
47.0,66.0,28.0,87.0,2.7,60.0,2.27,0
26.0,52.0,93.0,91.0,8.3,43.0,3.95,0
92.0,93.0,21.0,45.0,5.0,54.0,3.4,1
91.0,44.0,23.0,89.0,0.8,75.0,3.25,0
31.0,65.0,62.0,82.0,0.6,49.0,1.53,0
53.0,95.0,86.0,18.0,3.3,76.0,3.39,0
52.0,19.0,73.0,33.0,7.8,66.0,3.4,0
67.0,43.0,96.0,84.0,7.1,54.0,2.88,1
42.0,18.0,53.0,96.0,7.9,38.0,3.97,0
81.0,24.0,32.0,27.0,5.2,27.0,2.11,0
56.0,70.0,73.0,37.0,4.4,45.0,3.84,0
63.0,31.0,31.0,97.0,1.5,90.0,3.76,0
54.0,88.0,28.0,89.0,3.3,49.0,1.23,0
84.0,31.0,45.0,15.0,4.3,26.0,2.46,0
66.0,98.0,38.0,68.0,0.9,86.0,3.94,0
97.0,83.0,74.0,85.0,2.2,84.0,1.49,0
22.0,48.0,59.0,99.0,6.0,55.0,2.73,0
20.0,20.0,17.0,29.0,7.4,44.0,3.94,0
24.0,67.0,51.0,79.0,10.0,56.0,2.76,0
33.0,80.0,57.0,90.0,9.3,20.0,1.73,0
46.0,91.0,54.0,85.0,6.4,34.0,2.83,0
28.0,57.0,69.0,29.0,4.2,56.0,1.77,0
98.0,89.0,53.0,35.0,6.4,32.0,2.66,0
34.0,37.0,29.0,33.0,7.9,27.0,1.41,0
61.0,69.0,18.0,74.0,1.2,24.0,2.9,0
96.0,94.0,39.0,47.0,4.1,79.0,2.65,1
70.0,89.0,27.0,63.0,8.4,92.0,3.27,1
82.0,30.0,96.0,49.0,3.8,20.0,2.97,0
71.0,22.0,47.0,58.0,5.7,55.0,2.74,0
23.0,18.0,30.0,25.0,5.9,54.0,3.13,0
42.0,18.0,56.0,86.0,1.8,85.0,1.6,0
34.0,70.0,80.0,92.0,3.6,82.0,2.87,0
62.0,39.0,69.0,88.0,3.3,42.0,1.68,0
48.0,81.0,56.0,80.0,0.3,28.0,3.79,0
55.0,81.0,48.0,60.0,0.2,53.0,1.39,0
32.0,41.0,44.0,23.0,8.3,65.0,2.41,0
51.0,46.0,27.0,17.0,2.7,97.0,3.15,0
90.0,64.0,27.0,99.0,5.2,23.0,2.48,0
78.0,75.0,32.0,40.0,3.0,49.0,1.46,0
47.0,65.0,46.0,86.0,9.4,94.0,2.75,0
85.0,33.0,53.0,62.0,2.6,91.0,3.0,0
61.0,35.0,60.0,80.0,4.3,22.0,3.17,0
64.0,19.0,43.0,84.0,8.7,33.0,2.25,0
81.0,96.0,76.0,42.0,8.4,79.0,2.78,1
76.0,56.0,76.0,40.0,1.9,96.0,2.46,1
25.0,75.0,71.0,39.0,8.0,64.0,3.08,0
47.0,36.0,30.0,26.0,4.6,53.0,2.83,0
47.0,35.0,70.0,19.0,4.8,64.0,2.67,0
63.0,84.0,24.0,62.0,1.3,80.0,1.9,0
49.0,15.0,44.0,51.0,0.8,35.0,1.21,0
81.0,19.0,39.0,93.0,7.3,85.0,1.69,0
94.0,26.0,98.0,58.0,5.0,59.0,1.53,0
81.0,60.0,19.0,29.0,4.4,36.0,2.46,0
20.0,48.0,79.0,57.0,7.3,53.0,2.91,0
46.0,63.0,63.0,62.0,7.7,35.0,1.8,0
81.0,92.0,17.0,84.0,1.6,79.0,3.83,1
96.0,59.0,59.0,60.0,6.1,85.0,1.22,0
22.0,41.0,28.0,57.0,1.4,85.0,3.36,0
89.0,87.0,44.0,35.0,7.5,32.0,2.95,0
91.0,40.0,82.0,37.0,6.6,75.0,2.25,1
46.0,61.0,32.0,94.0,9.6,50.0,1.34,0
28.0,70.0,76.0,61.0,0.7,53.0,2.96,0
81.0,77.0,51.0,29.0,0.6,58.0,2.28,0
56.0,62.0,39.0,39.0,2.8,86.0,3.82,0
70.0,75.0,62.0,50.0,2.6,27.0,2.72,0
63.0,95.0,79.0,89.0,2.5,97.0,3.83,1
43.0,40.0,67.0,65.0,9.1,74.0,1.82,0
98.0,50.0,93.0,29.0,2.5,46.0,3.23,1
78.0,15.0,87.0,82.0,2.7,72.0,2.93,0
51.0,22.0,29.0,35.0,7.6,58.0,3.27,0
71.0,66.0,63.0,27.0,4.5,84.0,1.8,1
81.0,93.0,82.0,33.0,7.8,36.0,3.06,0
77.0,61.0,26.0,48.0,0.7,49.0,2.59,0
71.0,70.0,73.0,92.0,4.9,72.0,3.28,1
31.0,28.0,51.0,82.0,0.3,32.0,2.12,0
58.0,42.0,75.0,66.0,0.6,40.0,3.69,0
21.0,92.0,57.0,41.0,9.1,38.0,1.44,0
22.0,16.0,84.0,43.0,1.4,72.0,3.46,0
75.0,40.0,53.0,42.0,5.3,38.0,3.61,0
78.0,28.0,70.0,49.0,4.1,76.0,3.49,0
21.0,73.0,77.0,22.0,3.5,44.0,2.64,0
21.0,70.0,60.0,30.0,9.0,50.0,2.43,0
73.0,21.0,25.0,50.0,0.2,74.0,3.99,0
20.0,17.0,76.0,44.0,6.6,42.0,1.84,0
38.0,37.0,91.0,32.0,9.6,51.0,2.73,0
21.0,32.0,39.0,16.0,5.6,81.0,3.08,0
72.0,52.0,85.0,63.0,9.4,93.0,3.16,1
63.0,29.0,66.0,91.0,0.5,29.0,1.77,0
51.0,78.0,18.0,18.0,4.2,91.0,3.03,0
89.0,42.0,73.0,89.0,2.6,73.0,3.49,1
51.0,88.0,86.0,21.0,7.3,71.0,1.34,0
87.0,53.0,34.0,88.0,9.8,39.0,3.75,0
74.0,71.0,77.0,53.0,2.6,51.0,1.28,0
94.0,31.0,68.0,27.0,6.5,33.0,2.2,0
75.0,58.0,88.0,45.0,2.0,69.0,1.24,0
36.0,39.0,71.0,85.0,5.7,47.0,1.42,0
57.0,31.0,55.0,77.0,4.6,72.0,3.75,0
43.0,27.0,17.0,70.0,9.7,43.0,2.19,0
88.0,98.0,20.0,56.0,6.1,98.0,2.39,1
89.0,39.0,19.0,75.0,3.5,41.0,1.8,0
30.0,82.0,19.0,56.0,1.1,49.0,2.87,0
35.0,24.0,68.0,70.0,1.5,82.0,2.87,0
92.0,81.0,61.0,50.0,2.3,23.0,2.24,0
78.0,32.0,63.0,98.0,2.5,96.0,2.13,0
89.0,48.0,23.0,82.0,8.5,78.0,3.68,1
99.0,22.0,34.0,21.0,5.6,27.0,2.27,0
22.0,54.0,75.0,68.0,5.2,31.0,2.58,0
39.0,97.0,49.0,15.0,1.1,50.0,1.99,0
78.0,56.0,64.0,58.0,8.6,97.0,3.4,1
55.0,55.0,96.0,59.0,7.2,53.0,2.31,0
38.0,20.0,76.0,61.0,0.7,94.0,2.64,0
86.0,66.0,31.0,27.0,7.1,95.0,1.91,0
38.0,40.0,17.0,36.0,5.4,68.0,3.97,0
39.0,78.0,46.0,35.0,0.8,98.0,2.02,0
90.0,73.0,27.0,23.0,4.6,76.0,3.36,0
71.0,70.0,87.0,40.0,4.8,45.0,2.4,1
52.0,73.0,82.0,23.0,1.7,37.0,1.78,0
59.0,84.0,28.0,29.0,9.5,57.0,3.44,0
58.0,47.0,25.0,24.0,8.5,69.0,2.13,0
20.0,67.0,70.0,56.0,6.7,27.0,3.62,0
30.0,36.0,81.0,86.0,4.6,60.0,3.76,0
76.0,35.0,43.0,38.0,4.1,25.0,3.61,0
69.0,84.0,23.0,94.0,6.5,88.0,1.3,0
42.0,84.0,81.0,63.0,5.5,63.0,3.4,0
50.0,18.0,39.0,40.0,0.6,83.0,2.35,0
61.0,89.0,90.0,51.0,5.1,48.0,3.65,1
26.0,76.0,56.0,82.0,8.1,47.0,2.99,0
35.0,76.0,23.0,64.0,4.6,30.0,3.53,0
79.0,38.0,93.0,38.0,0.5,84.0,2.6,0
21.0,69.0,54.0,33.0,7.9,38.0,2.7,0
20.0,23.0,39.0,74.0,2.0,28.0,1.6,0
67.0,17.0,19.0,53.0,2.6,46.0,3.4,0
31.0,45.0,25.0,88.0,1.6,53.0,2.37,0
88.0,54.0,73.0,32.0,3.3,63.0,2.6,1
56.0,50.0,93.0,33.0,7.6,87.0,3.4,0
51.0,38.0,52.0,50.0,5.2,34.0,2.88,0
28.0,20.0,86.0,88.0,2.0,70.0,1.76,0
38.0,80.0,19.0,69.0,8.8,32.0,2.85,0
67.0,98.0,62.0,83.0,8.8,68.0,2.34,1
99.0,89.0,32.0,61.0,8.7,89.0,2.51,1
22.0,18.0,84.0,63.0,2.4,75.0,1.28,0
39.0,93.0,51.0,47.0,4.5,95.0,1.79,0
43.0,20.0,74.0,35.0,9.8,70.0,1.99,0
73.0,65.0,62.0,95.0,7.7,56.0,3.2,1
52.0,76.0,91.0,36.0,0.3,36.0,1.23,0
43.0,71.0,42.0,62.0,0.7,77.0,2.34,0
94.0,80.0,83.0,51.0,4.6,48.0,3.79,1
91.0,93.0,91.0,29.0,9.1,52.0,1.51,0
55.0,89.0,95.0,49.0,5.4,79.0,2.65,0
57.0,22.0,54.0,85.0,5.0,74.0,3.4,0
44.0,40.0,59.0,46.0,1.1,29.0,3.84,0
37.0,65.0,76.0,25.0,6.6,66.0,3.29,0
85.0,59.0,72.0,24.0,8.2,42.0,3.22,1
73.0,58.0,81.0,87.0,3.8,40.0,3.51,1
54.0,19.0,70.0,92.0,7.8,32.0,2.45,0
99.0,84.0,54.0,91.0,9.6,52.0,3.46,1
80.0,40.0,54.0,71.0,2.0,43.0,1.22,0
60.0,82.0,91.0,39.0,5.2,30.0,3.79,0
52.0,33.0,47.0,16.0,2.9,36.0,2.44,0
87.0,98.0,20.0,78.0,7.9,87.0,2.75,1
52.0,34.0,33.0,49.0,5.8,66.0,1.91,0
33.0,26.0,94.0,21.0,6.3,44.0,3.28,0
40.0,61.0,54.0,99.0,8.0,92.0,1.41,0
67.0,15.0,73.0,32.0,4.0,40.0,3.64,0
39.0,28.0,73.0,81.0,9.2,31.0,3.52,0
27.0,78.0,62.0,56.0,5.3,56.0,1.8,0
26.0,52.0,55.0,53.0,1.6,61.0,3.47,0
86.0,51.0,27.0,55.0,7.0,36.0,3.4,0
36.0,25.0,59.0,89.0,7.9,67.0,2.97,0
52.0,91.0,67.0,38.0,3.2,47.0,2.25,0
67.0,17.0,56.0,74.0,8.6,60.0,1.96,0
95.0,47.0,77.0,60.0,9.1,66.0,1.85,1
78.0,20.0,41.0,33.0,2.8,37.0,2.09,0
41.0,64.0,52.0,82.0,9.8,97.0,3.73,0
49.0,24.0,74.0,56.0,1.4,90.0,1.42,0
57.0,19.0,21.0,46.0,2.0,32.0,3.52,0
70.0,37.0,19.0,53.0,1.8,32.0,2.18,0
73.0,24.0,59.0,50.0,8.9,50.0,2.66,0
27.0,58.0,72.0,50.0,6.5,21.0,3.42,0
46.0,16.0,45.0,17.0,1.5,35.0,3.68,0
46.0,27.0,37.0,87.0,4.4,28.0,2.17,0
40.0,54.0,56.0,22.0,6.2,92.0,2.49,0
49.0,16.0,24.0,84.0,0.8,57.0,2.36,0
47.0,98.0,46.0,55.0,8.8,94.0,1.24,0
83.0,79.0,67.0,82.0,8.0,73.0,2.03,1
88.0,77.0,44.0,27.0,5.1,75.0,2.49,1
80.0,87.0,53.0,63.0,9.7,64.0,2.35,1
67.0,31.0,45.0,74.0,4.2,53.0,3.22,0
38.0,23.0,96.0,16.0,9.8,28.0,2.28,0
23.0,89.0,16.0,74.0,6.7,27.0,2.57,0
54.0,29.0,92.0,19.0,6.3,26.0,2.4,0
83.0,38.0,91.0,58.0,1.7,55.0,3.27,1
68.0,52.0,26.0,41.0,8.8,37.0,3.62,0
36.0,49.0,53.0,46.0,4.3,22.0,2.69,0
63.0,63.0,80.0,35.0,1.6,47.0,3.41,1
49.0,83.0,27.0,22.0,0.1,89.0,2.03,0
65.0,76.0,60.0,86.0,5.6,63.0,2.72,1
25.0,74.0,41.0,64.0,5.3,40.0,2.17,0
56.0,64.0,31.0,81.0,7.2,47.0,2.36,0
43.0,92.0,74.0,58.0,8.9,73.0,3.25,0
65.0,89.0,78.0,72.0,0.8,73.0,3.67,0
72.0,23.0,49.0,17.0,7.3,84.0,1.54,0
79.0,48.0,84.0,84.0,1.9,40.0,2.98,1
82.0,90.0,97.0,16.0,8.6,32.0,2.83,0
51.0,49.0,44.0,58.0,8.2,76.0,1.53,0
52.0,15.0,85.0,16.0,5.4,68.0,1.79,0
86.0,54.0,88.0,95.0,7.1,73.0,2.07,1
37.0,78.0,77.0,49.0,3.1,29.0,1.67,0
44.0,36.0,42.0,44.0,4.7,72.0,1.88,0
73.0,74.0,74.0,22.0,8.2,63.0,1.95,1
77.0,78.0,93.0,36.0,4.6,66.0,2.14,1
86.0,86.0,51.0,58.0,3.6,72.0,3.3,1
65.0,25.0,36.0,72.0,4.9,93.0,2.8,0
43.0,28.0,82.0,50.0,8.3,65.0,3.96,0
51.0,74.0,34.0,83.0,3.4,32.0,2.36,0
66.0,44.0,82.0,91.0,1.7,56.0,3.31,1
42.0,49.0,78.0,45.0,7.1,43.0,3.64,0
85.0,99.0,31.0,61.0,8.3,21.0,3.1,0
46.0,51.0,26.0,69.0,1.0,33.0,2.35,0
21.0,19.0,36.0,94.0,2.4,29.0,3.31,0
36.0,97.0,31.0,76.0,1.4,54.0,1.77,0
52.0,92.0,24.0,44.0,3.5,44.0,2.12,0
28.0,40.0,79.0,69.0,4.5,22.0,2.73,0
62.0,76.0,36.0,30.0,7.5,36.0,2.81,0
67.0,18.0,96.0,26.0,6.5,31.0,1.26,0
58.0,56.0,64.0,31.0,6.2,73.0,3.85,0
61.0,32.0,28.0,30.0,3.5,43.0,3.15,0
45.0,54.0,78.0,26.0,8.4,48.0,2.59,0
69.0,86.0,61.0,22.0,4.7,62.0,3.81,1
44.0,53.0,43.0,98.0,9.8,44.0,2.43,0
43.0,28.0,90.0,17.0,6.3,79.0,3.95,0
32.0,46.0,50.0,30.0,1.3,84.0,2.63,0
79.0,65.0,66.0,44.0,6.8,47.0,1.52,0
26.0,52.0,90.0,37.0,3.3,35.0,3.34,0
76.0,37.0,21.0,19.0,6.9,66.0,3.1,0
55.0,77.0,43.0,98.0,0.7,77.0,3.36,0
64.0,29.0,25.0,79.0,1.7,95.0,3.86,0
39.0,39.0,47.0,44.0,8.6,46.0,3.37,0
84.0,31.0,20.0,35.0,2.3,72.0,2.91,0
27.0,80.0,93.0,98.0,8.4,61.0,3.6,0
35.0,92.0,46.0,84.0,2.8,78.0,3.09,0
33.0,67.0,65.0,36.0,6.4,66.0,2.34,0
95.0,65.0,89.0,96.0,6.9,53.0,3.68,1
34.0,53.0,72.0,86.0,5.1,56.0,1.82,0
85.0,65.0,40.0,46.0,3.1,25.0,3.2,0
51.0,84.0,60.0,47.0,2.1,26.0,3.67,0
82.0,20.0,43.0,30.0,0.3,44.0,3.25,0
70.0,81.0,18.0,90.0,3.0,52.0,3.15,1
44.0,21.0,95.0,52.0,6.5,74.0,3.31,0
77.0,65.0,27.0,28.0,9.4,77.0,2.5,0
82.0,86.0,53.0,50.0,8.7,26.0,3.65,0
81.0,56.0,29.0,37.0,7.7,76.0,1.77,0
41.0,78.0,43.0,80.0,7.9,31.0,1.56,0
77.0,29.0,43.0,99.0,6.6,35.0,2.0,0
77.0,43.0,89.0,16.0,2.6,99.0,2.69,1
68.0,47.0,46.0,87.0,9.1,62.0,2.63,1
71.0,41.0,16.0,79.0,6.7,96.0,3.5,1
61.0,50.0,61.0,89.0,5.6,26.0,2.33,0
89.0,43.0,92.0,81.0,1.1,70.0,2.56,0
34.0,52.0,98.0,66.0,4.5,92.0,1.24,0
73.0,71.0,36.0,76.0,4.6,51.0,2.35,1
79.0,41.0,89.0,37.0,8.6,94.0,3.01,1
27.0,69.0,41.0,40.0,5.5,27.0,1.24,0
72.0,47.0,81.0,82.0,3.8,91.0,1.99,1
79.0,82.0,95.0,96.0,9.8,64.0,1.78,0
24.0,80.0,70.0,69.0,1.1,78.0,1.32,0
87.0,24.0,35.0,20.0,4.2,23.0,2.54,0
25.0,19.0,61.0,49.0,0.4,86.0,1.71,0
66.0,88.0,94.0,36.0,7.4,48.0,3.28,1
74.0,52.0,73.0,57.0,9.2,48.0,3.57,1
59.0,27.0,98.0,29.0,2.8,47.0,2.73,0
71.0,45.0,20.0,74.0,8.6,96.0,3.95,1
35.0,61.0,33.0,26.0,2.9,98.0,2.46,0
32.0,66.0,71.0,63.0,9.1,63.0,2.64,0
49.0,70.0,83.0,56.0,7.5,23.0,3.97,0
38.0,29.0,17.0,52.0,8.0,28.0,1.85,0
36.0,43.0,15.0,96.0,0.2,24.0,3.84,0
82.0,22.0,72.0,59.0,9.6,75.0,1.32,0
38.0,19.0,52.0,49.0,7.3,69.0,2.45,0
77.0,43.0,29.0,44.0,3.0,94.0,1.4,0
74.0,61.0,48.0,44.0,8.3,34.0,3.24,0
81.0,82.0,75.0,92.0,2.8,51.0,2.9,1
42.0,90.0,49.0,20.0,8.7,47.0,3.18,0
28.0,59.0,78.0,81.0,1.1,41.0,2.25,0
31.0,16.0,39.0,94.0,7.0,36.0,2.23,0
20.0,41.0,38.0,21.0,5.4,78.0,1.33,0
77.0,50.0,26.0,66.0,1.0,90.0,2.18,0
20.0,50.0,32.0,28.0,2.4,76.0,3.8,0
53.0,40.0,29.0,87.0,0.1,45.0,2.26,0
67.0,57.0,94.0,29.0,4.7,44.0,3.53,1
20.0,41.0,41.0,35.0,3.0,29.0,3.56,0
35.0,83.0,86.0,49.0,6.0,64.0,2.25,0
80.0,34.0,74.0,80.0,3.0,30.0,2.97,0
83.0,25.0,60.0,16.0,3.0,96.0,1.47,0
82.0,88.0,31.0,49.0,7.4,72.0,1.49,0
88.0,52.0,67.0,96.0,0.5,91.0,1.34,0
41.0,20.0,22.0,92.0,9.0,87.0,2.83,0
86.0,86.0,93.0,34.0,8.5,47.0,2.39,1
95.0,37.0,41.0,96.0,6.7,94.0,2.73,1
45.0,61.0,60.0,24.0,5.9,84.0,2.66,0
35.0,60.0,64.0,39.0,8.9,68.0,2.18,0
70.0,26.0,85.0,80.0,1.9,66.0,3.1,0
76.0,27.0,17.0,39.0,0.8,71.0,3.32,0
48.0,76.0,78.0,68.0,2.4,73.0,1.24,0
97.0,96.0,58.0,47.0,7.9,79.0,1.78,0
88.0,74.0,67.0,50.0,0.3,76.0,3.2,0
66.0,57.0,38.0,28.0,5.8,66.0,2.28,0
81.0,90.0,74.0,79.0,10.0,50.0,3.05,1
88.0,82.0,17.0,94.0,8.6,65.0,2.17,1
95.0,19.0,34.0,68.0,5.2,45.0,2.29,0
35.0,51.0,60.0,66.0,0.6,24.0,1.64,0
67.0,86.0,29.0,17.0,8.3,71.0,1.92,0
58.0,45.0,39.0,55.0,6.0,94.0,2.9,0
52.0,23.0,92.0,20.0,1.1,73.0,2.41,0
42.0,65.0,85.0,39.0,0.9,52.0,3.37,0
29.0,43.0,31.0,27.0,9.1,69.0,3.59,0
88.0,92.0,98.0,22.0,6.7,57.0,2.72,1
53.0,54.0,23.0,35.0,8.3,46.0,3.32,0
71.0,55.0,52.0,82.0,8.8,34.0,2.06,0
29.0,25.0,62.0,39.0,5.7,80.0,2.36,0
38.0,37.0,74.0,93.0,5.2,40.0,3.2,0
77.0,15.0,77.0,82.0,4.3,65.0,2.28,0
20.0,60.0,16.0,59.0,3.2,88.0,2.85,0
88.0,35.0,86.0,74.0,4.3,25.0,1.72,0
23.0,50.0,25.0,26.0,7.7,57.0,2.88,0
35.0,68.0,78.0,46.0,6.0,81.0,3.61,0
43.0,71.0,91.0,27.0,8.9,81.0,3.63,0
99.0,15.0,95.0,45.0,4.4,97.0,3.23,0
21.0,77.0,86.0,92.0,6.1,93.0,3.29,0
51.0,68.0,35.0,34.0,6.3,65.0,2.76,0
43.0,69.0,32.0,32.0,5.9,32.0,2.84,0
31.0,54.0,78.0,74.0,7.0,22.0,1.57,0
69.0,29.0,96.0,77.0,2.4,25.0,2.44,0
54.0,35.0,52.0,20.0,5.1,27.0,2.46,0
52.0,61.0,46.0,46.0,1.0,63.0,3.88,0
52.0,87.0,25.0,57.0,3.8,52.0,2.41,0
80.0,67.0,59.0,16.0,4.9,94.0,2.74,1
70.0,23.0,47.0,74.0,6.5,96.0,2.69,0
62.0,88.0,55.0,37.0,9.5,69.0,2.98,1
31.0,66.0,22.0,97.0,6.0,30.0,3.3,0
86.0,71.0,25.0,45.0,7.4,47.0,1.83,1
84.0,40.0,65.0,19.0,5.1,89.0,2.68,0
52.0,55.0,55.0,97.0,6.3,60.0,3.51,0
59.0,49.0,31.0,48.0,0.7,35.0,2.5,0
93.0,77.0,90.0,24.0,2.5,87.0,1.98,1
62.0,39.0,60.0,16.0,3.6,67.0,3.03,0
63.0,89.0,46.0,25.0,4.7,75.0,3.51,1
48.0,52.0,93.0,64.0,0.5,83.0,1.38,0
32.0,16.0,94.0,45.0,1.4,78.0,3.38,0
31.0,21.0,68.0,70.0,2.8,81.0,3.5,0
65.0,96.0,34.0,93.0,9.7,95.0,2.49,1
21.0,48.0,47.0,87.0,3.3,30.0,3.95,0
54.0,31.0,88.0,97.0,4.8,37.0,3.4,0
27.0,57.0,54.0,23.0,2.0,38.0,3.37,0
45.0,73.0,46.0,35.0,6.1,74.0,3.29,0
93.0,65.0,16.0,87.0,2.8,45.0,1.62,0
53.0,68.0,47.0,42.0,2.1,25.0,1.81,0
26.0,38.0,91.0,76.0,5.2,23.0,2.5,0
87.0,39.0,44.0,21.0,0.1,48.0,1.94,0
77.0,85.0,47.0,94.0,0.1,78.0,2.36,0
94.0,66.0,91.0,30.0,2.2,36.0,3.69,0
48.0,84.0,40.0,18.0,0.4,62.0,3.51,0
55.0,47.0,36.0,18.0,1.1,99.0,2.96,0
40.0,63.0,80.0,54.0,3.4,85.0,3.6,0
55.0,43.0,52.0,31.0,8.0,53.0,3.39,0
29.0,77.0,60.0,66.0,5.7,27.0,2.4,0
